"","phecode","case_w_dz","ctrl_w_dz","odds_ratio","pval","ci_low","ci_high","PheWASString"
"1","008",26,15,1.73467020551006,0.117003967868561,0.884739415454189,3.52462718182847,"Intestinal infection"
"2","008.5",4,2,2.00022981751278,0.687466096484795,0.286613527727027,22.1153910386346,"Bacterial enteritis"
"3","008.51",0,0,0,1,0,Inf,"Intestinal e.coli"
"4","008.52",13,1,13.0139917578019,0.00182663958679073,1.95368011715086,551.635998452922,"Intestinal infection due to C. difficile"
"5","008.6",20,7,2.85989305758977,0.0190999068116368,1.161111933714,8.00677529608708,"Viral Enteritis"
"6","008.7",1,0,Inf,1,0.0256406640625,Inf,"Intestinal protozoal diseases"
"7","010",3,2,1.50007892602058,1,0.171809090153529,17.9562509656687,"Tuberculosis"
"8","031",0,0,0,1,0,Inf,"Diseases due to mycobacteria"
"9","031.1",0,0,0,1,0,Inf,"Leprosy"
"10","038",50,11,4.55787309335236,4.46567511826818e-07,2.34090083453465,9.71379711667175,"Septicemia"
"11","038.1",7,1,7.00256823481139,0.0702729523356312,0.899457616404829,315.193616186098,"Gram negative septicemia"
"12","038.2",12,0,Inf,0.000487116890931194,2.78026788495404,Inf,"Gram positive septicemia"
"13","038.3",30,2,15.0323402477714,2.42971805572709e-07,3.8119153039912,130.048479166011,"Bacteremia"
"14","041",34,15,2.26986051385595,0.00933740669389585,1.20288518494656,4.48697128566475,"Bacterial infection NOS"
"15","041.1",8,1,8.00353751058315,0.0390319940085006,1.0728191801947,354.62157097064,"Staphylococcus infections"
"16","041.11",6,3,2.00037453783407,0.50774129875555,0.427106754365569,12.3642235505718,"Methicillin sensitive Staphylococcus aureus"
"17","041.12",20,8,2.50223262107526,0.0356060635979311,1.05523291127225,6.57111805708224,"Methicillin resistant Staphylococcus aureus"
"18","041.2",15,8,1.87589747467375,0.209849348763229,0.746310533847704,5.110564748259,"Streptococcus infection"
"19","041.21",1,0,Inf,1,0.0256406640625,Inf,"Rheumatic fever / chorea"
"20","041.4",6,0,Inf,0.0312330519201888,1.17768859146603,Inf,"E. coli"
"21","041.8",2,2,1,1,0.0724972999730408,13.7936171467333,"H. pylori"
"22","041.9",7,0,Inf,0.0156131372022007,1.44168304781675,Inf,"Drug-resistant infection"
"23","053",4,4,1,1,0.186203523423341,5.3704676561166,"Herpes zoster"
"24","053.1",0,1,0,1,0,39.0005499686929,"Herpes zoster with nervous system complications"
"25","054",55,16,3.44675011133817,3.65190401181505e-06,1.94543869159683,6.44825305120106,"Herpes simplex"
"26","070",24,1,24.0397052783244,1.53554896289885e-06,3.91874670546083,984.270666831031,"Viral hepatitis"
"27","070.1",0,0,0,1,0,Inf,"Viral hepatitis A"
"28","070.2",6,1,6.00172959797013,0.124952540228117,0.72801947933814,275.757453177678,"Viral hepatitis B"
"29","070.3",35,2,17.542980046546,1.00499198083442e-08,4.50543160408076,150.44329180968,"Viral hepatitis C"
"30","070.4",5,1,5.00101445510208,0.218699148405338,0.559547202411505,236.313112248479,"Chronic hepatitis"
"31","070.9",2,1,2.00008513905808,1,0.104105394076461,117.932198226899,"Hepatitis NOS"
"32","071",10,3,3.33522767082828,0.0922094126736094,0.85842363852428,18.8602385625561,"Human immunodeficiency virus"
"33","071.1",24,10,2.40249826609015,0.0242204555315193,1.10680876360692,5.63096690499629,"HIV infection, symptomatic"
"34","078",296,330,0.894720012845213,0.182117687192009,0.760777310194849,1.05188008361546,"Viral warts & HPV"
"35","079",169,136,1.24563677579956,0.0652290806433894,0.986702079693856,1.57490268165168,"Viral infection"
"36","079.1",2,1,2.00008513905808,1,0.104105394076461,117.932198226899,"Varicella infection"
"37","079.2",57,33,1.73023856260997,0.0147054669775637,1.10699007099272,2.74472673729591,"Infectious mononucleosis"
"38","079.9",3,2,1.50007892602058,1,0.171809090153529,17.9562509656687,"Viremia, NOS"
"39","080",7,8,0.874941496039325,1,0.269987803100289,2.76192601353357,"Postoperative infection"
"40","081",11,2,5.5031480982256,0.0224306477389857,1.20075146929385,51.0903629954568,"Infection/inflammation of internal prosthetic device, implant or graft"
"41","081.1",0,0,0,1,0,Inf,"Graft-versus-host disease"
"42","081.11",0,0,0,1,0,Inf,"Acute graft-versus-host disease"
"43","081.12",0,0,0,1,0,Inf,"Chronic graft-versus-host disease"
"44","090",14,7,2.000953838149,0.18907868286499,0.755499696228781,5.85917139725904,"Sexually transmitted infections"
"45","090.2",9,1,9.00464251268305,0.0214621330590601,1.24746877010085,394.041276850179,"Gonococcal infections"
"46","090.3",8,2,4.00128473900178,0.109311437806262,0.798367660292035,38.6932368444139,"Venereal diseases due to Chlamydia trachomatis"
