"","phecode","ctrl_w_dz","ctrl_w_dz_exp","case_w_dz","case_w_dz_exp","hazard_ratio","pval","PheWASString"
"1","008",8,9.34441190741213,11,9.65558809258787,1.33079812294143,0.538591912925886,"Intestinal infection"
"2","008.5",2,3.88721215043324,6,4.11278784956676,2.83800752891401,0.201569857591305,"Bacterial enteritis"
"3","008.51",0,0,0,0,NA,NA,"Intestinal e.coli"
"4","008.52",4,13.2753565690274,23,13.7246434309726,5.56308935298417,0.0015362835887956,"Intestinal infection due to C. difficile"
"5","008.6",4,11.3029572081405,19,11.6970427918595,4.59028249683148,0.0056029167437555,"Viral Enteritis"
"6","008.7",0,0.499837433618728,1,0.500162566381272,218488659.689541,0.998963827800475,"Intestinal protozoal diseases"
"7","010",1,2.44081803510679,4,2.55918196489321,3.8158863615815,0.23102761075011,"Tuberculosis"
"8","031",0,0,0,0,NA,NA,"Diseases due to mycobacteria"
"9","031.1",0,0,0,0,NA,NA,"Leprosy"
"10","038",17,52.0639010459094,89,53.9360989540906,5.05496691248678,9.26866704735064e-10,"Septicemia"
"11","038.1",1,9.36927271879777,18,9.63072728120223,17.5119540582696,0.00532770891461327,"Gram negative septicemia"
"12","038.2",2,9.84459017074209,18,10.1554098292579,8.72556205155238,0.00365730849793276,"Gram positive septicemia"
"13","038.3",2,21.1948612617569,41,21.8051387382431,19.9290521529492,3.59663540354373e-05,"Bacteremia"
"14","041",8,40.8809860557964,75,42.1190139442036,9.10024293763764,2.8970452709739e-09,"Bacterial infection NOS"
"15","041.1",3,7.89021222038144,13,8.10978777961857,4.21646386671055,0.0246671965017048,"Staphylococcus infections"
"16","041.11",3,7.86005235973503,13,8.13994764026497,4.18486052523028,0.0254294310762702,"Methicillin sensitive Staphylococcus aureus"
"17","041.12",4,22.1278197853541,41,22.8721802146459,9.91789532020523,1.18716810231962e-05,"Methicillin resistant Staphylococcus aureus"
"18","041.2",2,10.8250010699874,20,11.1749989300126,9.68768291867618,0.00219869250532793,"Streptococcus infection"
"19","041.21",1,1.49240709494218,2,1.50759290505782,1.97996856531904,0.577035199699372,"Rheumatic fever / chorea"
"20","041.4",2,8.34081588753653,15,8.65918411246347,7.22566696769246,0.00861238725053005,"E. coli"
"21","041.8",0,4.41010046472691,9,4.58989953527309,210253746.806509,0.996898785403663,"H. pylori"
"22","041.9",1,2.93861379125178,5,3.06138620874821,4.80055652039167,0.152149294720365,"Drug-resistant infection"
"23","053",2,7.32695095401926,13,7.67304904598074,6.20945348460558,0.0162179061158658,"Herpes zoster"
"24","053.1",0,1.48112510613404,3,1.51887489386596,213291242.530488,0.998207786776423,"Herpes zoster with nervous system complications"
"25","054",37,56.6288615587475,78,58.3711384412525,2.04531659191991,0.000337755864285347,"Herpes simplex"
"26","070",5,18.1965661080047,32,18.8034338919953,6.19414503928292,0.000149367612176871,"Viral hepatitis"
"27","070.1",0,0.490068233510235,1,0.509931766489765,210246535.505449,0.998966234429341,"Viral hepatitis A"
"28","070.2",1,4.46973753161346,8,4.53026246838654,7.89404505023726,0.0514244364802782,"Viral hepatitis B"
"29","070.3",3,48.8593175976462,96,50.1406824023538,31.1945773933972,4.42060968186349e-09,"Viral hepatitis C"
"30","070.4",0,1.48843214152894,3,1.51156785847106,215338472.817646,0.99820673815727,"Chronic hepatitis"
"31","070.9",0,2.45756021584949,5,2.54243978415051,211487828.892069,0.99768758269808,"Hepatitis NOS"
"32","071",5,14.314442666773,24,14.685557333227,4.67902548085749,0.00169587928633052,"Human immunodeficiency virus"
"33","071.1",10,24.7682802252793,40,25.2317197747207,3.92703094677327,0.000109335567668917,"HIV infection, symptomatic"
"34","078",167,173.033607957632,185,178.966392042368,1.07106728205947,0.520105286658975,"Viral warts & HPV"
"35","079",45,53.5960816708265,64,55.4039183291735,1.37588418615913,0.100982114477548,"Viral infection"
"36","079.1",0,0.491211427933709,1,0.508788572066291,211181818.860806,0.998965905195895,"Varicella infection"
"37","079.2",20,16.2250466081282,13,16.7749533918718,0.628668460105928,0.192648759071146,"Infectious mononucleosis"
"38","079.9",3,6.3520875336635,10,6.6479124663365,3.18522400138772,0.0784280838339124,"Viremia, NOS"
"39","080",6,14.2607735038988,23,14.7392264961011,3.70945381970632,0.00424342305299158,"Postoperative infection"
"40","081",0,10.8374384534674,22,11.1625615465326,212370530.306549,0.995147951900022,"Infection/inflammation of internal prosthetic device, implant or graft"
"41","081.1",0,0.492221530802738,1,0.507778469197262,212014492.873834,0.9989656583319,"Graft-versus-host disease"
"42","081.11",0,0,0,0,NA,NA,"Acute graft-versus-host disease"
"43","081.12",0,0,0,0,NA,NA,"Chronic graft-versus-host disease"
"44","090",10,18.2411651831221,27,18.7588348168779,2.62559125462011,0.00911830655323297,"Sexually transmitted infections"
"45","090.2",2,4.41606766431324,7,4.58393233568676,3.37204854462017,0.129522237485743,"Gonococcal infections"
"46","090.3",0,2.45604088492461,5,2.54395911507539,211182447.988098,0.997687699911857,"Venereal diseases due to Chlamydia trachomatis"
"47","1000",23,47.2335847371428,73,48.7664152628572,3.0745453072396,2.6413820137066e-06,"Burns"
"48","1001",14,39.4554311274189,66,40.5445688725811,4.58798294397142,2.2502243151719e-07,"Foreign body injury"
"49","1002",26,90.2811189420628,157,92.7188810579372,5.88058606884902,5.89943036722604e-17,"Symptoms concerning nutrition, metabolism, and development"
"50","1003",0,0.497632766910119,1,0.502367233089881,216578113.20765,0.998964318294082,"Sudden death"
"51","1004",5,45.7613453051009,88,47.2386546948991,17.052719219328,6.86033991349924e-10,"Symptoms involving emotional state"
"52","1005",11,80.5287959229111,152,82.4712040770889,13.4950447345852,7.7811653455391e-17,"Other symptoms"
"53","1006",3,3.44009738033029,4,3.55990261966971,1.28850029615922,0.739993233375326,"Crushing injury"
"54","1007",6,8.34293422336685,11,8.65706577663315,1.76686364466571,0.262067899459629,"Injury to blood vessels"
"55","1008",18,39.4166891214763,62,40.5833108785237,3.34590593649458,6.46123511151149e-06,"Internal injury to organs"
"56","1009",224,525.927663306296,824,522.072336693704,3.70630666966596,1.06958266908422e-67,"Injury, NOS"
"57","1010",2767,3438.56678239675,3921,3249.43321760326,1.50009509401527,6.16880351340912e-60,"Other tests"
"58","1010.1",1,1.46992762232756,2,1.53007237767244,1.92140574549265,0.593885160380722,"nan"
"59","1011",9,23.9670927555829,40,25.0329072444171,4.25692128542666,8.63875763126271e-05,"Complications of medical procedures NOS"
"60","1012",1,3.95874858919654,7,4.04125141080346,6.85753622884217,0.0717058530266806,"Late effect"
"61","1013",7,28.091334764545,50,28.908665235455,6.9418740355825,1.57750662991283e-06,"Asphyxia and hypoxemia"
"62","1014",2,6.88211686161206,12,7.11788313838794,5.80312263019878,0.0213261509794613,"Effects of heat, cold & air pressure"
"63","1015",19,166.105339243658,316,168.894660756342,16.3592029331263,2.67801473523348e-32,"Effects of other external causes"
"64","1019",1505,1833.84494958616,2149,1820.15505041384,1.43880782465637,2.65736490407244e-27,"Other causes of morbidity & mortality"
"65","110",0,0,0,0,NA,NA,"Dermatophytosis / Dermatomycosis"
"66","110.1",6,5.38697652040081,5,5.61302347959919,0.799749456870434,0.712126158829662,"Dermatophytosis"
"67","110.11",21,35.3153162763554,51,36.6846837236446,2.33850247493663,0.00105291775808402,"Dermatophytosis of nail"
"68","110.12",8,21.1686776921071,35,21.8313223078929,4.24256150786411,0.000226302928199438,"Althete's foot"
"69","110.13",13,18.6787013405098,25,19.3212986594902,1.85917387730751,0.0697498175161692,"Dermatophytosis of the body"
"70","110.2",11,16.1807439152403,22,16.8192560847597,1.92416415078842,0.0763426333005023,"Dermatomycoses"
"71","1100",9,11.7311641389146,15,12.2688358610854,1.59376542614503,0.269006670269482,"x"
"72","112",32,66.5215787341961,103,68.4784212658039,3.12688764350516,1.77087611761231e-08,"Candidiasis"
"73","112.3",0,2.94149438645228,6,3.05850561354772,210422997.476628,0.997467694945877,"Candidiasis of skin and nails"
"74","117",1,3.4607520994191,6,3.5392479005809,5.86754373135746,0.101389888003445,"Mycoses"
"75","117.1",0,0,0,0,NA,NA,"Histoplasmosis"
"76","117.2",0,0,0,0,NA,NA,"Coccidioidomycosis"
"77","117.3",0,0,0,0,NA,NA,"Blastomycotic infection"
"78","117.4",1,1.48733581962104,2,1.51266418037896,1.96658017929783,0.580824848362463,"Aspergillosis"
"79","130",0,0.983365365092534,2,1.01663463490747,211569670.787238,0.998537386418315,"Spirochetal infection"
"80","130.1",5,22.2696065232593,40,22.7303934767407,7.83894992148094,1.4189967067355e-05,"Lyme disease"
"81","131",2,5.41677065814353,9,5.58322934185647,4.36627562112208,0.0593775893701572,"Protozoan infection"
"82","132",2,7.38256904904376,13,7.61743095095624,6.30003566820645,0.0153854678178421,"Infestation"
"83","132.1",2,1.9610543242123,2,2.0389456757877,0.961793840697297,0.968927959621389,"Pediculosis & phthirus infestation"
"84","133",0,5.42163839345899,11,5.57836160654101,212564359.265972,0.996568924751909,"Arthropod-borne diseases"
"85","134",0,1.96791557519533,4,2.03208442480467,211814007.129691,0.997931389859255,"Helminthiases"
"86","134.1",0,0.496492335102632,1,0.503507664897368,215601632.31085,0.998964603396244,"Intestinal helminthiases"
"87","136",4,20.1920211916533,37,20.8079788083467,8.97733149356151,3.04954282568694e-05,"Other infectious diseases"
