"","phecode","case_w_dz","ctrl_w_dz","odds_ratio","pval","ci_low","ci_high","PheWASString","sig"
"1","041.8",42,11,3.81972602350444,2.23912709138574e-05,1.93272767659644,8.22761758851502,"H. pylori","Significant"
"2","071",89,17,5.24103958365477,5.79277543131954e-13,3.09634346676724,9.39641172832132,"Human immunodeficiency virus","Significant"
"3","071.1",152,43,3.5406392241594,1.72158327341648e-15,2.50864261582406,5.09160568077405,"HIV infection, symptomatic","Significant"
"4","130.1",54,12,4.50271807089323,1.68282992770085e-07,2.37892986480797,9.24945639656453,"Lyme disease","Significant"
"5","198.3",36,6,6.00265378865963,2.81902974320204e-06,2.50485564167237,17.4291109859385,"Secondary malignant neoplasm of digestive systems","Significant"
"6","204",33,3,11.0021321939142,2.26427260046682e-07,3.45190924541649,56.0482297804022,"Leukemia","Significant"
"7","246",94,42,2.23993621766638,9.56522552920545e-06,1.54087745869308,3.30489339933068,"Other disorders of thyroid","Significant"
"8","257.1",281,155,1.81651777155666,1.56224480376442e-09,1.48729466407356,2.22535360322202,"Testicular hypofunction","Significant"
"9","289",31,6,5.16847850882931,4.11580131664366e-05,2.12425315930047,15.1573884138966,"Diseases of blood and blood-forming organs","Significant"
"10","341",31,6,5.16847850882931,4.11580131664366e-05,2.12425315930047,15.1573884138966,"Other demyelinating diseases of central nervous system","Significant"
"11","343",29,4,7.25270222076363,1.09023711724446e-05,2.54652106248879,28.3772540669476,"Infantile cerebral palsy","Significant"
"12","352.1",46,11,4.18383615748825,3.29605731353378e-06,2.13450031206932,8.95920773491387,"Trigeminal nerve disorders","Significant"
"13","381.11",128,66,1.94128106455788,9.94446516492049e-06,1.43117929078628,2.65435732801618,"Suppurative and unspecified otitis media","Significant"
"14","382",82,32,2.56465384184187,3.10749500641635e-06,1.68506971786871,3.98947310343702,"Otalgia","Significant"
"15","425.2",29,5,5.80199989313001,3.84726653658749e-05,2.22054536938926,19.1976723209278,"Secondary/extrinsic cardiomyopathies","Significant"
"16","535.6",25,3,8.33607726281418,2.73897812066689e-05,2.54337458933881,43.1498349026726,"Duodenitis","Significant"
"17","550.5",70,27,2.5944833298561,1.46588980829367e-05,1.642275436386,4.20894395563174,"Ventral hernia","Significant"
"18","568.1",37,6,6.16950284659201,1.63004053102023e-06,2.58094400950702,17.8839645512051,"Peritoneal adhesions (postoperative) (postinfection)","Significant"
"19","569.2",67,21,3.19304220578447,9.1265416009282e-07,1.93062953844051,5.49014457310062,"Gastrointestinal complications","Significant"
"20","592.13",47,11,4.27487056801184,2.02132422785848e-06,2.18513385705721,9.14167489939039,"Chronic interstitial cystitis","Significant"
"21","628",296,192,1.54420419674193,2.75372197674418e-06,1.28295965021204,1.86222723076,"Ovarian cyst","Significant"
"22","724.8",252,144,1.75298697133315,6.0335384884756e-08,1.42235484265668,2.16727976141116,"Other symptoms referable to back","Significant"
"23","764",468,276,1.70082959001984,1.64580960782437e-12,1.46199861233018,1.98164477271757,"Sciatica","Significant"
