"","phecode","ctrl_w_dz","ctrl_w_dz_exp","case_w_dz","case_w_dz_exp","hazard_ratio","pval","PheWASString","sig"
"1","216.1",157,211.049742864845,274,219.950257135155,1.67486891858128,2.58112008206686e-07,"Screening for malignant neoplasms of the skin","Significant"
"2","250.41",5,23.5428853805909,43,24.4571146194091,8.28132323620194,7.68016601967648e-06,"Impaired fasting glucose","Significant"
"3","256.4",50,80.8751925692797,114,83.1248074307203,2.21841663168982,2.63610039395688e-06,"Polycystic ovaries","Significant"
"4","277.7",9,26.9923815446555,46,28.0076184553445,4.92668930112354,1.21458643916318e-05,"Dysmetabolic syndrome X","Significant"
"5","302",10,55.3380226805519,102,56.6619773194481,9.96334488038797,3.98888135780441e-12,"Sexual and gender identity disorders","Significant"
"6","303.1",5,59.453545474738,115,60.546454525262,22.5878948276366,8.85700018388715e-12,"Dissociative disorder","Significant"
"7","305.21",7,78.8786551663039,152,80.1213448336961,21.3820476067797,2.33067090343246e-15,"Anorexia nervosa","Significant"
"8","313",22,68.5193077433821,117,70.4806922566179,5.17138827386379,1.54302353978349e-12,"Pervasive developmental disorders","Significant"
"9","313.2",2,51.5911217856877,102,52.4088782143123,50.2117419235127,4.13727685114734e-08,"Tics and stuttering","Significant"
"10","313.3",43,446.259723459283,842,438.740276540717,19.94334129961,1.10777966419361e-81,"Autism","Significant"
"11","315.1",6,39.5184497297417,74,40.4815502702583,12.0435469724161,4.56050817825975e-09,"Learning disorder","Significant"
"12","315.3",17,169.899552568768,324,171.100447431232,18.928727478083,3.12763373660611e-32,"Mental retardation","Significant"
"13","465.2",312,378.652335796466,454,387.347664203534,1.42248760113772,1.65002153828854e-06,"Acute pharyngitis","Significant"
"14","476",328,471.62636737458,621,477.37363262542,1.87066290368948,4.50381578698397e-20,"Allergic rhinitis","Significant"
"15","626.11",57,107.905672988573,162,111.094327011427,2.76063083333895,4.28978934343303e-11,"Absent or infrequent menstruation","Significant"
"16","626.13",58,93.0695193417401,131,95.9304806582599,2.19135439270457,6.55562881296965e-07,"Irregular menstrual cycle","Significant"
"17","628",44,86.7127925397779,132,89.2872074602222,2.91366190095603,8.08888468403066e-10,"Ovarian cyst","Significant"
"18","646",50,79.9514187495399,113,83.0485812504601,2.17593484893274,4.7162663490858e-06,"Other complications of pregnancy NEC","Significant"
"19","649",78,118.544872275361,163,122.455127724639,2.02319963003533,3.08786259479339e-07,"Other conditions of the mother complicating pregnancy","Significant"
"20","706.1",492,566.5446648957,651,576.4553351043,1.30052841383685,1.08916318892923e-05,"Acne","Significant"
"21","724.8",66,98.5222520436766,135,102.477747956323,1.9668129860629,6.69787544310942e-06,"Other symptoms referable to back","Significant"
"22","769",536,618.955839852066,716,633.044160147934,1.30613997267684,2.92777147399828e-06,"Nonallopathic lesions NEC","Significant"
"23","930",34,68.0062987088328,104,69.9937012911672,2.97230095403763,3.50890716181933e-08,"Allergic reaction to food","Significant"
"24","960",5,21.6299747960017,39,22.3700252039983,7.54267695634802,2.10321584699782e-05,"Poisoning by antibiotics","Significant"
